actor,type,bankability_score,film_count
Sonu Sood,actor,1.7555,4
Vishal Pandya,director,1.7555,3
Partho Ghosh,director,1.7555,1
K.S. Adiyaman,director,1.7555,1
Jaideep Sen,director,1.7555,1
Vishal Bhardwaj,director,1.7554,7
Jaya Bachchan,actor,1.7552,2
Nishikant Kamat,director,1.7549,6
Subhash Ghai,director,1.7548,3
Jimmy Sheirgill,actor,1.7548,10
Tarakesh Chauhan,actor,1.7542,1
Tia Bajpai,actor,1.7542,1
Vicky Ahuja,actor,1.7542,1
Leena Sharma,actor,1.7542,1
Ranjit Batra,actor,1.7542,1
Amrish Puri,actor,1.7542,12
Ayesha Takia,actor,1.7539,5
Mohnish Bahl,actor,1.7535,3
Rishi Kapoor,actor,1.7531,17
Kunal Khemu,actor,1.7531,2
Asad Aleem,actor,1.7529,1
Mithila Palkar,actor,1.7529,1
Pran,actor,1.7529,1
Shahana Goswami,actor,1.7529,1
Gracy Singh,actor,1.7529,3
Danish Aslam,director,1.7529,1
Akarsh Khurana,director,1.7529,1
Renzil D'Silva,director,1.7529,1
Sulabha Arya,actor,1.7529,1
Sharmila Tagore,actor,1.7529,1
Milap Zaveri,director,1.7528,3
Rajiv Rai,director,1.7526,2
Randeep Hooda,actor,1.7525,10
Kapil Sharma,actor,1.7524,2
Dharmendra,actor,1.7523,9
Sharman Joshi,actor,1.7516,7
Zayed Khan,actor,1.7515,1
Anjali Patil,actor,1.7515,1
Vishesh Bansal,actor,1.7515,1
Karan Ashar,actor,1.7515,1
Shonali Bose,director,1.7515,1
Malaika Arora,actor,1.7515,1
Hardik Mehta,director,1.7515,1
Janhvi Kapoor,actor,1.7515,1
Amit Masurkar,director,1.7515,1
Boman Irani,actor,1.7512,7
Dharmesh Darshan,director,1.7511,4
Varun Sharma,actor,1.7511,5
Vinay Pathak,actor,1.751,3
Vivek Oberoi,actor,1.7509,13
Rajkummar Rao,actor,1.7507,13
Vivaan Shah,actor,1.7501,1
Esha Tewari,actor,1.7501,1
Bipasha Basu,actor,1.7501,8
Shilpa Shetty Kundra,actor,1.7499,4
Tigmanshu Dhulia,director,1.7497,4
Ali Fazal,actor,1.7495,4
Nargis,actor,1.7493,4
Javed Jaffrey,actor,1.7489,3
Vijay Ratnakar Gutte,director,1.7487,1
Aahana Kumra,actor,1.7487,1
Gowtam Tinnanuri,director,1.7487,1
Suzanne Bernert,actor,1.7487,1
Alankrita Shrivastava,director,1.7487,1
Chetan Anand,director,1.7487,1
Balraj Sahni,actor,1.7487,1
Priya Rajvansh,actor,1.7487,1
Raaj Kumar,actor,1.7487,1
Emraan Hashmi,actor,1.7483,19
Anubhav Sinha,director,1.7482,6
Richa Chadha,actor,1.748,6
Ashish R. Mohan,director,1.7478,2
Amit Sadh,actor,1.7478,2
Ashwiny Iyer Tiwari,director,1.7477,2
Vikram Bhatt,director,1.7474,9
Ameesha Patel,actor,1.7472,5
Prashant Singh,director,1.7471,1
Imran Abbas,actor,1.7471,1
Juhi Chawla,actor,1.747,13
Urvashi Rautela,actor,1.7468,2
Raj Kanwar,director,1.7466,8
Karisma Kapoor,actor,1.7466,18
Homi Adajania,director,1.7463,3
Parvathy Thiruvothu,actor,1.7456,1
Kookie Gulati,actor,1.7456,1
Manoj Bajpayee,actor,1.7454,14
Tanuja Chandra,director,1.745,2
Fatima Sana Shaikh,actor,1.7449,2
Amy Jackson,actor,1.7445,3
Zareen Khan,actor,1.7444,3
Ram Gopal Varma,director,1.7441,8
Raj Kapoor,actor,1.7439,6
Samir Karnik,director,1.7439,1
Nagraj Manjule,director,1.7439,1
Vicky Kadian,actor,1.7439,1
Ganesh Deshmukh,actor,1.7439,1
Apoorva Lakhia,director,1.7439,2
Amrita Arora,actor,1.7439,1
Nagesh Kukunoor,director,1.7439,1
Aman Ullah,actor,1.7439,1
Nikhil Dwivedi,actor,1.7438,2
Paoli Dam,actor,1.7438,2
Jackie Shroff,actor,1.7434,11
Ratna Pathak Shah,actor,1.7434,4
Ken Ghosh,director,1.7433,3
Abhishek Chaubey,director,1.7425,4
Mohanlal,actor,1.7424,3
Meera Chopra,actor,1.7422,1
Pankaj Tripathi,actor,1.7422,2
Lakshya Raj Anand,director,1.7422,1
Rahul Bhatt,actor,1.7422,1
Aditya Pancholi,actor,1.7422,1
Usman Rao,actor,1.7422,1
Divya Jagdale,actor,1.7422,1
Kushagra Anand,actor,1.7422,1
Vishal Karwal,actor,1.7422,1
Dharmendra Suresh Desai,director,1.7422,1
Tinnu Anand,director,1.7422,1
Kumar Anand,director,1.7422,1
Karan Kundra,actor,1.7422,1
Harshavardhan Kulkarni,director,1.742,2
Divya Khosla Kumar,director,1.7416,3
Johnny Lever,actor,1.7411,2
Twinkle Khanna,actor,1.7409,5
Mansoor Khan,director,1.7409,4
Minissha Lamba,actor,1.7408,2
Kirti Kulhari,actor,1.7408,2
Harmesh Malhotra,director,1.7404,1
Ashmit Patel,actor,1.7404,1
Tinnu Verma,director,1.7404,1
Nupur Asthana,director,1.7404,1
Isha Koppikar,actor,1.7404,1
Urmila Matondkar,actor,1.7398,8
Chandrachur Singh,actor,1.7396,2
Sunny Deol,actor,1.7394,23
Satish Kaushik,director,1.7394,4
Harry Baweja,director,1.7391,3
Farah Karimaee,actor,1.7385,1
Mahie Gill,actor,1.7385,4
Samar Iqbal,director,1.7385,1
Varun V. Sharma,director,1.7385,1
Mahima A,actor,1.7385,1
Nirmal Pandey,actor,1.7385,1
Shawn Arranha,director,1.7385,1
Rajesh Vivek,actor,1.7385,1
Shweta Basu Prasad,actor,1.7385,1
Kamal Haasan,actor,1.7385,2
Amitabh Bachchan,actor,1.7382,43
Ajay Bahl,director,1.7378,2
Meenakshi Sheshadri,actor,1.7376,2
Pankaj Parashar,director,1.7365,1
Pankaj Dheer,actor,1.7365,1
Manoj Agrawal,director,1.7365,1
Rajkumar Kohli,director,1.7365,1
Sanjay Sharma,actor,1.7365,1
Arman Kohli,actor,1.7365,1
Reema Lagoo,actor,1.7365,1
Neetu Singh,actor,1.7365,1
Ashok Roy,director,1.7365,1
Kiran Kumar,actor,1.7365,1
Nagma,actor,1.7365,1
Namrata Shirodkar,actor,1.7365,1
Kriti Kharbanda,actor,1.7364,3
Ram Kapoor,actor,1.7356,4
Suneel Darshan,director,1.735,4
Ravinddra Khare,director,1.7345,1
J.D. Chakravarthi,actor,1.7345,1
Mukesh Rishi,actor,1.7345,1
Sonali Bendre,actor,1.7345,5
Sudev Nair,actor,1.7345,1
Jatin Goswami,actor,1.7345,1
Kushan Nandy,director,1.7345,1
Kirti Reddy,actor,1.7345,1
A. Muthu,director,1.7345,1
Deepak Sareen,director,1.7345,1
Sanjay Suri,actor,1.7345,1
Bidita Bag,actor,1.7345,1
Sai Tamhankar,actor,1.7345,1
Umesh Mehra,director,1.7344,3
Sohum Shah,actor,1.7344,2
Ketan Mehta,director,1.7339,2
Vipul Amrutlal Shah,director,1.7336,4
Taapsee Pannu,actor,1.7328,10
Babbar Subhash,director,1.7323,2
Rajesh Abhay,actor,1.7322,1
Navaniat Singh,director,1.7322,1
Shekhar Kapur,director,1.7322,3
Gurmmeet Singh,director,1.7322,1
Simran,actor,1.7322,1
K.K. Raina,actor,1.7322,1
Shujaat Saudagar,director,1.7322,1
Rajeev Khandelwal,actor,1.7322,1
Saqib Saleem,actor,1.7322,1
Ashima Chibber,director,1.7322,1
Ratnaa Sinha,director,1.7322,1
Tina Desai,actor,1.7322,1
Ishaan Khattar,actor,1.7322,1
Divyang Thakkar,director,1.7322,1
Raayo S. Bakhirta,actor,1.7322,1
Saeed Jaffrey,actor,1.7322,1
Pooja Batra,actor,1.7316,2
Kader Khan,actor,1.7314,4
Raveena Tandon,actor,1.7307,9
Mahima Chaudhry,actor,1.7306,6
Mikhil Musale,director,1.7299,1
Danish Singh,actor,1.7299,1
Mamta Kulkarni,actor,1.7299,1
Monica Gill,actor,1.7299,1
Rajiv Dhingra,director,1.7299,1
Rajat Bedi,actor,1.7299,1
Reena Roy,actor,1.7299,1
Abbas Tyrewala,director,1.7299,1
Abhishek Pathak,director,1.7299,1
Navinder Pal Singh,actor,1.7299,1
Ashutosh Acharya,actor,1.7299,1
Nirupa Roy,actor,1.7299,1
